"SIIIR","Denumire","Categorie","SIRUTA","Localitate","Judet"
"3261101692","COLEGIUL TEHNIC ""MEDIENSIS"" MEDIAŞ","Colegiu",143628,"MEDIAŞ","SB"
"3261101543","LICEUL TEHNOLOGIC ''AUTOMECANICA'' MEDIAȘ","Liceu",143628,"MEDIAŞ","SB"
"3261101294","LICEUL TEHNOLOGIC ""ILIE MĂCELARIU"" MIERCUREA SIBIULUI","Liceu tehnologic / Școală profesională",144937,"MIERCUREA SIBIULUI","SB"
"3261100144","LICEUL TEHNOLOGIC ""IOAN LUPAŞ"" SĂLIŞTE","Liceu tehnologic / Școală profesională",145505,"SĂLIŞTE","SB"
"3261101213","COLEGIUL AGRICOL ""DANIIL POPOVICI BARCIANU"" SIBIU","Colegiu",143469,"SIBIU","SB"
"3261101493","COLEGIUL ECONOMIC ""GEORGE BARIȚIU"" SIBIU","Colegiu",143469,"SIBIU","SB"
"3261101796","COLEGIUL TEHNIC ""CIBINIUM"" SIBIU","Colegiu",143469,"SIBIU","SB"
"3261102051","LICEUL TEHNOLOGIC ""AVRAM IANCU"" SIBIU","Liceu",143469,"SIBIU","SB"
"3261102286","LICEUL TEHNOLOGIC CONSTRUCȚII ȘI ARHITECTURĂ ""CAROL I"" SIBIU","Liceu",143469,"SIBIU","SB"
"3261100067","LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ""TEREZIANUM"" SIBIU","Liceu",143469,"SIBIU","SB"
"3261101204","LICEUL TEHNOLOGIC ""HENRI COANDĂ"" SIBIU","Liceu",143469,"SIBIU","SB"
"3261101597","LICEUL TEHNOLOGIC ""INDEPENDENŢA"" SIBIU","Liceu",143469,"SIBIU","SB"
"3261100189","LICEUL TEORETIC ""CONSTANTIN NOICA"" SIBIU","Liceu",143469,"SIBIU","SB"
"3261101769","LICEUL TEHNOLOGIC ""JOHANNES LEBEL"" TĂLMACIU","Liceu tehnologic / Școală profesională",145836,"TĂLMACIU","SB"
"3261101819","LICEUL TEHNOLOGIC ""STĂNESCU VALERIAN"" TÂRNAVA","Liceu tehnologic / Școală profesională",143655,"TÂRNAVA","SB"
"3261101579","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ TURNU ROȘU","Centru de Educație Incluzivă",145943,"TURNU ROŞU","SB"
"3161100765","LICEUL TEHNOLOGIC ""GHEORGHE POP DE BĂSEȘTI"" CEHU SILVANIEI","Liceu tehnologic / Școală profesională",139759,"CEHU SILVANIEI","SJ"
"3161100385","LICEUL TEHNOLOGIC ""CSEREY-GOGA"" CRASNA","Liceu",140636,"CRASNA","SJ"
"3161100711","LICEUL TEHNOLOGIC NR.1 GÂLGĂU","Liceu tehnologic / Școală profesională",141143,"GÂLGĂU","SJ"
"3161100937","LICEUL TEHNOLOGIC ""LIVIU REBREANU"" HIDA","Liceu tehnologic / Școală profesională",141456,"HIDA","SJ"
"3161104448","LICEUL TEHNOLOGIC ""IOACHIM POP"" ILEANDA","Liceu tehnologic / Școală profesională",141599,"ILEANDA","SJ"
