"siiir","denumire","categorie","siruta","localitate","judet"
"1261100208","LICEUL TEORETIC ""NICOLAE BĂLCESCU"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261100289","LICEUL TEORETIC ""ONISIFOR GHIBU"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261102816","LICEUL TEORETIC ""VICTOR BABEȘ"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261102282","LICEUL UNITARIAN ""JANOS ZSIGMOND"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261102594","LICEUL WALDORF CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261102712","SEMINARUL TEOLOGIC ORTODOX CLUJ-NAPOCA","Școală profesională / Învățământ dual","54984","CLUJ-NAPOCA","CJ"
"1261100045","ȘCOALA PROFESIONALĂ SPECIALĂ ""SAMUS"" CLUJ - NAPOCA","Liceu tehnologic / Școală profesională","54984","CLUJ-NAPOCA","CJ"
"1261102947","COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" DEJ","Colegiu","55017","DEJ","CJ"
"1261105032","LICEUL TEHNOLOGIC ""CONSTANTIN BRÂNCUȘI"" DEJ","Liceu","55017","DEJ","CJ"
"1261104818","LICEUL TEHNOLOGIC ""SOMEȘ"" DEJ","Școală postliceală","55017","DEJ","CJ"
"1261103844","LICEUL TEORETIC ""ALEXANDRU PAPIU ILARIAN"" DEJ","Liceu","55017","DEJ","CJ"
"1261102395","LICEUL TEHNOLOGIC GHERLA","Liceu tehnologic / Școală profesională","55393","GHERLA","CJ"
"1261104578","LICEUL TEORETIC ""ANA IPĂTESCU"" GHERLA","Liceu","55393","GHERLA","CJ"
"1261105258","LICEUL TEORETIC ""KEMÉNY ZSIGMOND"" GHERLA","Liceu","55393","GHERLA","CJ"
"1261100063","LICEUL TEORETIC ""PETRU MAIOR"" GHERLA","Liceu","55393","GHERLA","CJ"
"1261102929","LICEUL TEORETIC ""GELU VOIEVOD"" GILĂU","Liceu","57911","GILĂU","CJ"
"1261103039","LICEUL TEHNOLOGIC ""VLĂDEASA"" HUEDIN","Școală postliceală","55455","HUEDIN","CJ"
"1261104913","LICEUL TEORETIC ""OCTAVIAN GOGA"" HUEDIN","Liceu","55455","HUEDIN","CJ"
"1261102341","COLEGIUL ""EMIL NEGRUȚIU"" TURDA","Colegiu","55268","TURDA","CJ"
"1261100375","COLEGIUL NAȚIONAL ""MIHAI VITEAZUL"" TURDA","Colegiu","55268","TURDA","CJ"
"1261103116","COLEGIUL TEHNIC TURDA","Colegiu","55268","TURDA","CJ"
"1261103229","LICEUL TEORETIC ""JOSIKA MIKLOS"" TURDA","Liceu","55268","TURDA","CJ"
"1261102626","LICEUL TEORETIC ""LIVIU REBREANU"" TURDA","Liceu","55268","TURDA","CJ"
"5161100769","LICEUL TEHNOLOGIC NR.1 BORCEA","Liceu tehnologic / Școală profesională","92970","BORCEA","CL"
"5161100801","COLEGIUL ECONOMIC CALARASI","Colegiu","92578","CĂLĂRAŞI","CL"
"5161100647","COLEGIUL NATIONAL ""BARBU STIRBEI"" CALARASI","Colegiu","92578","CĂLĂRAŞI","CL"
"5161103555","LICEUL ""DANUBIUS"" CALARASI","Liceu","92578","CĂLĂRAŞI","CL"
"5161100986","LICEUL PEDAGOGIC ""STEFAN BANULESCU"" CALARASI","Liceu","92578","CĂLĂRAŞI","CL"
"5161101096","LICEUL TEHNOLOGIC ""DAN MATEESCU"" CALARASI","Liceu","92578","CĂLĂRAŞI","CL"
"5161100674","LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO CALARASI","Liceu","92578","CĂLĂRAŞI","CL"
"5161100914","LICEUL TEHNOLOGIC ""SANDU ALDEA"" CALARASI","Liceu","92578","CĂLĂRAŞI","CL"
